REAL_ESTATE_ID,REAL_ESTATE_NAME,REAL_ESTATE_ADDRESS,REAL_ESTATE_CITY,REAL_ESTATE_STATE,REAL_ESTATE_COUNTRY,REAL_ESTATE_PHONE,REAL_ESTATE_FAX,REAL_ESTATE_EMAIL,COMMISSION_RATE,CONTACT_PERSON_NAME,CONTACT_PERSON_ADDRESS ,CONTACT_PERSON_PHONE,CONTACT_PERSON_FAX,CONTACT_PERSON_EMAIL,OPEN_DATE,CLOSE_DATE,ACTION_FLAG
789201,IBN,"1ST,326 RAJA NAGAR, BANGLORE",BANGLORE,KARNATAKA,INDIA,O80-6523345,080-6582450,IBN@GMAIL.COM,0.9,IBN_MANAGER,"1ST,326 RAJA NAGAR, BANGLORE",080-6582450,O80-6523345,IBN@GMAIL.COM,23-3-1985,13-3-2009,A
789202,SUDHIL,"1ST,327  LAKSHMI NAGAR, HYDERABAD",HYDERABAD,ANDHRAPRADESH,INDIA,O40-6523346,040-6582451,SUDHIL@GMAIL.COM,0.85,SUDHIL_MANAGER,"1ST,327  LAKSHMI NAGAR, HYDERABAD",040-6582451,O40-6523346,SUDHIL@GMAIL.COM,23-3-1986,25-5-2009,A
789203,COCO,"1ST,526 SR  NAGAR, CHENNAI",CHENNAI,TAMILNADU,INDIA,O44-6523347,044-6582452,COCO@GMAIL.COM,0.91,COCO_MANAGER,"1ST,526 SR  NAGAR, CHENNAI",044-6582452,O44-6523347,COCO@GMAIL.COM,15-3-1987,27-5-2009,A
789204,YAKO,"1ST,#225 SURA NAGAR, TRIVANDRUM",Trivandrum,KERALA,INDIA,471-6523348,471-6582453,YAKO@GMAIL.COM,0.941,YAKO_MANAGER,"1ST,#225 SURA NAGAR, TRIVANDRUM",471-6582453,471-6523348,YAKO@GMAIL.COM,23-8-1988,27-5-2009,A
789205,IGOT,"1ST,#26 CHANDA NAGAR, Chandigarh",Chandigarh,PUNJAB,INDIA,172-6523349,172-6582454,IGOT@GMAIL.COM,0.86,IGOT_MANAGER,"1ST,#26 CHANDA NAGAR, Chandigarh",172-6582454,172-6523349,IGOT@GMAIL.COM,30-3-1989,30-5-2009,A
789206,NML,"1ST,#52 ROJA NAGAR, Bhubaneswar",Bhubaneswar,ORISSA,INDIA,674-6523350,674-6582455,NML@GMAIL.COM,0.25,NML_MANAGER,"1ST,#52 ROJA NAGAR, Bhubaneswar",674-6582455,674-6523350,NML@GMAIL.COM,16-4-1990,14-6-2009,A
789207,AAA,"1ST,543 TERA  NAGAR, ImphaL",ImphaL,MANIPUR,INDIA,385-6523351,385-6582456,AAA@GMAIL.COM,0.21,AAA_MANAGER,"1ST,543 TERA  NAGAR, ImphaL",385-6582456,385-6523351,AAA@GMAIL.COM,13-1-1991,21-6-2009,A
789208,HATRIK,"1ST,234 SUBASH NAGAR, Lucknow",Lucknow,UTTAR PRADESH,INDIA,522-6523352,522-6582457,HATRIK@GMAIL.COM,0.9,HATRIK_MANAGER,"1ST,234 SUBASH NAGAR, Lucknow",522-6582457,522-6523352,HATRIK@GMAIL.COM,24-3-1992,22-6-2009,A
789209,JESU,"1ST,765  SINGH NAGAR, Chandigarh",Chandigarh,HARYANA,INDIA,011-6523353,011-6582458,JESU@GMAIL.COM,0.9,JESU_MANAGER,"1ST,765  SINGH NAGAR, Chandigarh",011-6582458,011-6523353,JESU@GMAIL.COM,23-9-1993,24-6-2009,A
789210,SUPER,"1ST,986  YADAV NAGAR, MUMBAI",MUMBAI,MAHARASTRA,INDIA,022-6523354,022-6582459,SUPER@GMAIL.COM,0.9,SUPER_MANAGER,"1ST,986  YADAV NAGAR, MUMBAI",022-6582459,022-6523354,SUPER@GMAIL.COM,27-5-1994,29-6-2009,A
789211,COYAMA,"1ST,543  TAGORE NAGAR, Raipur",Raipur,CHATTISGARH,INDIA,771-6523355,771-6582460,COYAMA@GMAIL.COM,0.85,COYAMA_MANAGER,"1ST,543  TAGORE NAGAR, Raipur",771-6582460,771-6523355,COYAMA@GMAIL.COM,23-4-1995,14-7-2009,A
789212,NANO,"1ST,764  LALU  NAGAR, Patna",Patna,BIHAR,INDIA,612-6523356,612-6582461,NANO@GMAIL.COM,0.85,NANO_MANAGER,"1ST,764  LALU  NAGAR, Patna",612-6582461,612-6523356,NANO@GMAIL.COM,23-3-1996,15-7-2009,A
789213,KAMAL,"1ST,996 DHONI NAGAR, Ranchi",Ranchi,JHARKAND,INDIA,651-6523357,651-6582462,KAMAL@GMAIL.COM,0.85,KAMAL_MANAGER,"1ST,996 DHONI NAGAR, Ranchi",651-6582462,651-6523357,KAMAL@GMAIL.COM,28-6-1997,18-7-2009,A
789214,SINDHIL,"1ST,#01 DADA  NAGAR, KOLKATA",KOLKATA,WEST BENGAL,INDIA,033-6523358,033-6582463,SINDHIL@GMAIL.COM,0.75,SINDHIL_MANAGER,"1ST,#01 DADA  NAGAR, KOLKATA",033-6582463,033-6523358,SINDHIL@GMAIL.COM,23-3-1998,21-7-2009,A
789215,PADMINI,"1ST,243  CHAI NAGAR, Dispur",Dispur,ASSAM,INDIA,361-6523359,361-6582464,PADMINI@GMAIL.COM,0.72,PADMINI_MANAGER,"1ST,243  CHAI NAGAR, Dispur",361-6582464,361-6523359,PADMINI@GMAIL.COM,24-3-1998,22-7-2009,A
789216,WOOLFA,"1ST,#12 lst floor  GANDHI NAGAR, Jaipur",Jaipur,RAJASTHAN,INDIA,141-6523360,141-6582465,WOOLFA@GMAIL.COM,0.83,WOOLFA_MANAGER,"1ST,#12 lst floor  GANDHI NAGAR, Jaipur",141-6582465,141-6523360,WOOLFA@GMAIL.COM,23-3-2000,25-7-2009,A
789217,SHOBA,"1ST, # 2nd floor 326 NEHRU NAGAR, PANAJI",Panaji,Goa,INDIA,832-6523361,832-6582466,SHOBA@GMAIL.COM,0.91,SHOBA_MANAGER,"1ST, # 2nd floor 326 NEHRU NAGAR, PANAJI",832-6582466,832-6523361,SHOBA@GMAIL.COM,21-6-2000,16-9-2009,A
789218,AMZ,"1ST,32 RAM  NAGAR, DEHRA DUM",Dehra Dun,Uttaranchal,INDIA,135-6523362,135-6582467,AMZ@GMAIL.COM,0.95,AMZ_MANAGER,"1ST,32 RAM  NAGAR, DEHRA DUM",135-6582467,135-6523362,AMZ@GMAIL.COM,20-7-2002,20-9-2009,A
789219,RAMKEE,"1ST,36  INDIRA  NAGAR, Bhopal",Bhopal,MADHA PRADESH,INDIA,755-6523363,755-6582468,RAMKEE@GMAIL.COM,1.2,RAMKEE_MANAGER,"1ST,36  INDIRA  NAGAR, Bhopal",755-6582468,755-6523363,RAMKEE@GMAIL.COM,22-3-2003,20-9-2010,A
789220,CELEB,"1ST,36  INDIRA  NAGAR, MUMBAI",MUMBAI,MAHARASTRA,INDIA,022-6582469,022-6523364,CELEB@GMAIL.COM,0.785,CELEB_MANAGER,"1ST,36  INDIRA  NAGAR, MUMBAI",022-6523364,022-6582469,CELEB@GMAIL.COM,22-3-1983,26-9-2010,A
